id,Alcaldía,Población,Superficie_km2,Densidad_hab_km2,Country,State
1,Álvaro Obregón,759137,96.17,7 894,Mexico,Distrito federal
2,Azcapotzalco,432205,33.66,12 840,Mexico,Distrito federal
3,Benito Juárez,434153,26.63,16 303,Mexico,Distrito federal
4,Coyoacán,614447,54.4,11.295,Mexico,Distrito federal
5,Cuajimalpa,217686,80.95,2 689,Mexico,Distrito federal
6,Cuauhtémoc,545884,32.4,16 848,Mexico,Distrito federal
7,Gustavo A. Madero,1173351,94.07,12 473,Mexico,Distrito federal
8,Iztacalco,404695,23.3,17 369,Mexico,Distrito federal
9,Iztapalapa,1835486,117.0,15 687,Mexico,Distrito federal
10,M. Contreras,247622,74.58,3 320,Mexico,Distrito federal
11,Miguel Hidalgo,414470,46.99,8 820,Mexico,Distrito federal
12,Milpa Alta,152685,228.41,668,Mexico,Distrito federal
13,Tláhuac,392313,85.34,4 597,Mexico,Distrito federal
14,Tlalpan,699928,312.0,2 243,Mexico,Distrito federal
15,V. Carranza,443704,33.4,13 284,Mexico,Distrito federal
16,Xochimilco,442178,122.0,3 624,Mexico,Distrito federal
