Delegación,año,PROMEDIO
Cuajimalpa,2010,57.1077272727273
Cuauhtémoc,2010,34.2263636363636
Ecatepec,2010,18.6421739130435
Gustavo A. Madero,2010,24.15775
Magdalena Contreras,2010,56.7190909090909
Miguel Hidalgo,2010,34.8468571428571
Milpa Alta,2010,23.012
Nezahualcóyotl,2010,21.9466666666667
Texcoco,2010,20.8410526315789
Tlalnepantla,2010,22.7
Tlalpan,2010,43.1644615384615
Xochimilco,2010,20.9125
Cuajimalpa,2011,56.2429166666667
Cuauhtémoc,2011,33.7321052631579
Ecatepec,2011,29.0888235294118
Gustavo A. Madero,2011,40.1708108108108
Magdalena Contreras,2011,33.0205
Miguel Hidalgo,2011,41.9997368421053
Milpa Alta,2011,26.7654545454545
Nezahualcóyotl,2011,22.932
Texcoco,2011,22.2422222222222
Tlalnepantla,2011,34.1028571428571
Tlalpan,2011,38.9694117647059
Xochimilco,2011,29.7052631578947
Cuajimalpa,2012,47.5590909090909
Cuauhtémoc,2012,32.0390909090909
Ecatepec,2012,21.2222727272727
Gustavo A. Madero,2012,23.4504347826087
Magdalena Contreras,2012,42.454375
Miguel Hidalgo,2012,25.8730952380952
Milpa Alta,2012,23.1513636363636
Nezahualcóyotl,2012,20.6028571428571
Texcoco,2012,17.195
Tlalnepantla,2012,25.8676190476191
Tlalpan,2012,34.7819444444444
Xochimilco,2012,23.4672727272727
Cuajimalpa,2013,46.1559259259259
Cuauhtémoc,2013,33.5104
Ecatepec,2013,30.7969230769231
Gustavo A. Madero,2013,31.0226
Miguel Hidalgo,2013,41.684347826087
Milpa Alta,2013,25.0107692307692
Nezahualcóyotl,2013,27.1116
Texcoco,2013,21.678
Tlalnepantla,2013,41.4872727272727
Tlalpan,2013,38.3521917808219
Xochimilco,2013,28.0209523809524
Cuajimalpa,2014,51.5779166666667
Cuauhtémoc,2014,37.3842307692308
Ecatepec,2014,29.3376923076923
Gustavo A. Madero,2014,38.1798
Magdalena Contreras,2014,51.8266666666667
Miguel Hidalgo,2014,54.6466666666667
Milpa Alta,2014,25.9638461538462
Nezahualcóyotl,2014,30.8328571428571
Texcoco,2014,27.9391304347826
Tlalnepantla,2014,40.7591304347826
Tlalpan,2014,40.4218309859155
Xochimilco,2014,22.1741666666667
Cuajimalpa,2015,38.3569565217391
Cuauhtémoc,2015,23.7828
Ecatepec,2015,20.0591666666667
Gustavo A. Madero,2015,25.8808333333333
Magdalena Contreras,2015,36.9852941176471
Miguel Hidalgo,2015,32.415652173913
Milpa Alta,2015,23.8766666666667
Nezahualcóyotl,2015,15.8247826086956
Texcoco,2015,23.6020833333333
Tlalnepantla,2015,26.3024
Tlalpan,2015,32.6475362318841
Xochimilco,2015,19.204
Cuajimalpa,2016,55.8055
Cuauhtémoc,2016,27.9195833333333
Ecatepec,2016,27.8186956521739
Gustavo A. Madero,2016,31.1617948717949
Magdalena Contreras,2016,52.0704545454545
Miguel Hidalgo,2016,35.5204761904762
Milpa Alta,2016,17.112
Nezahualcóyotl,2016,27.8933333333333
Texcoco,2016,23.5033333333333
Tlalnepantla,2016,26.2696
Tlalpan,2016,38.002602739726
Xochimilco,2016,23.2777272727273
Cuajimalpa,2017,56.8126086956522
Cuauhtémoc,2017,27.3636
Ecatepec,2017,23.5636
Gustavo A. Madero,2017,26.9778431372549
Magdalena Contreras,2017,47.3634615384615
Miguel Hidalgo,2017,39.4125
Milpa Alta,2017,22.6175
Nezahualcóyotl,2017,27.5129166666667
Texcoco,2017,18.4804
Tlalnepantla,2017,30.38
Tlalpan,2017,46.1661111111111
Xochimilco,2017,20.6622727272727
Cuajimalpa,2018,47.1862068965517
Cuauhtémoc,2018,36.3188888888889
Ecatepec,2018,24.2230769230769
Gustavo A. Madero,2018,30.7005454545454
Magdalena Contreras,2018,41.6103571428571
Miguel Hidalgo,2018,41.7301724137931
Milpa Alta,2018,31.3123076923077
Nezahualcóyotl,2018,26.1093103448276
Texcoco,2018,21.8666666666667
Tlalnepantla,2018,32.9275862068966
Tlalpan,2018,39.5311764705882
Xochimilco,2018,22.2538461538462
Cuajimalpa,2019,40.1689655172414
Cuauhtémoc,2019,34.4730769230769
Ecatepec,2019,26.6615384615385
Gustavo A. Madero,2019,24.74
Magdalena Contreras,2019,36.4413793103448
Miguel Hidalgo,2019,31.9070175438597
Milpa Alta,2019,21.0814814814815
Nezahualcóyotl,2019,24.772
Texcoco,2019,15.068
Tlalnepantla,2019,23.3333333333333
Tlalpan,2019,34.3823529411765
Xochimilco,2019,15.7068965517241
