semana,PROMEDIO
23,29.0512213740458
46,2.71428571428571
29,42.3451369863014
15,6.37272727272727
32,35.1289743589744
26,52.9919736842105
35,50.7288079470199
6,26.275
43,16.7175490196078
49,20.7666666666667
21,22.8254198473282
27,51.9831617647059
38,31.938940397351
44,16.4946753246753
50,15.7225
24,29.3117117117117
18,11.6497058823529
30,32.7812666666667
10,38.64375
41,20.8042718446602
19,20.7689552238806
25,50.5981045751634
36,34.8466666666667
42,25.5206896551724
22,23.3437007874016
33,37.7242446043165
39,30.4371755725191
45,74.9529411764706
2,30.9290322580645
17,11.6345161290323
31,30.641038961039
34,43.536050955414
40,23.9484848484848
20,15.2065413533835
28,36.7173684210526
14,31.6625
37,35.0183823529412
