Alcaldía,# HOST AIRBNB,ANIO
Azcapotzalco,302,2019
Benito Juárez,3371,2019
Iztapalapa,315,2019
La Magdalena Contreras,140,2019
Miguel Hidalgo,2847,2019
Milpa Alta,21,2019
Tláhuac,44,2019
Xochimilco,156,2019
Benito Juárez,3343,2020
Iztapalapa,324,2020
La Magdalena Contreras,167,2020
Miguel Hidalgo,2878,2020
Milpa Alta,21,2020
Álvaro Obregón,740,2021
Cuajimalpa de Morelos,347,2021
La Magdalena Contreras,117,2021
Álvaro Obregón,968,2019
Cuajimalpa de Morelos,479,2019
Cuauhtémoc,6214,2019
Coyoacán,1555,2020
Iztacalco,296,2020
Venustiano Carranza,376,2020
Xochimilco,151,2020
Azcapotzalco,206,2021
Benito Juárez,2309,2021
Cuauhtémoc,4285,2021
Iztapalapa,248,2021
Miguel Hidalgo,2063,2021
Milpa Alta,18,2021
Tláhuac,42,2021
Tlalpan,798,2019
Gustavo A. Madero,367,2020
Tlalpan,771,2020
Gustavo A. Madero,270,2021
Tlalpan,586,2021
Coyoacán,1605,2019
Gustavo A. Madero,371,2019
Iztacalco,270,2019
Venustiano Carranza,344,2019
Álvaro Obregón,994,2020
Azcapotzalco,286,2020
Cuajimalpa de Morelos,471,2020
Cuauhtémoc,6233,2020
Tláhuac,41,2020
Coyoacán,1127,2021
Iztacalco,215,2021
Venustiano Carranza,297,2021
Xochimilco,119,2021
