Tipo AirBnB,Mes,Ocupacion
Private room,1,3
Private room,2,3
Private room,3,3
Entire home/apt,4,5
Private room,4,3
Shared room,4,4
Entire home/apt,5,5
Shared room,5,4
Entire home/apt,6,6
Shared room,6,4
Entire home/apt,7,5
Shared room,7,5
Hotel room,10,10
Hotel room,11,10
Hotel room,12,11
Hotel room,1,11
Hotel room,2,10
Hotel room,3,10
Hotel room,4,10
Hotel room,5,10
Private room,9,3
Private room,10,3
Private room,11,3
Entire home/apt,12,6
Private room,12,3
Shared room,12,5
Shared room,1,5
Entire home/apt,2,7
Shared room,3,5
Hotel room,6,10
Private room,6,3
Private room,8,3
Shared room,8,5
Entire home/apt,9,5
Shared room,10,5
Entire home/apt,11,6
Entire home/apt,1,6
Shared room,2,5
Entire home/apt,3,6
Private room,5,3
Private room,7,3
Entire home/apt,8,5
Hotel room,9,10
Shared room,9,3
Entire home/apt,10,6
Shared room,11,5
