Tipo AirBnB,Alcaldía,Precio Promedio 2019 - 2021
Entire home/apt,Azcapotzalco,903
Entire home/apt,Benito Juárez,1143
Entire home/apt,Iztapalapa,1013
Entire home/apt,La Magdalena Contreras,1082
Entire home/apt,Miguel Hidalgo,2190
Entire home/apt,Tláhuac,716
Hotel room,Cuajimalpa de Morelos,1877
Private room,Xochimilco,2132
Shared room,Álvaro Obregón,1261
Shared room,Venustiano Carranza,512
Shared room,Xochimilco,270
Entire home/apt,Gustavo A. Madero,993
Hotel room,Álvaro Obregón,1478
Hotel room,Azcapotzalco,276
Hotel room,Benito Juárez,1260
Hotel room,Cuauhtémoc,1693
Hotel room,Iztapalapa,311
Hotel room,La Magdalena Contreras,1956
Hotel room,Miguel Hidalgo,2252
Hotel room,Xochimilco,748
Private room,Cuauhtémoc,770
Private room,Tláhuac,402
Private room,Venustiano Carranza,528
Shared room,Tlalpan,365
Entire home/apt,Álvaro Obregón,1487
Entire home/apt,Cuajimalpa de Morelos,1862
Entire home/apt,Cuauhtémoc,1649
Entire home/apt,Milpa Alta,1217
Hotel room,Iztacalco,604
Private room,Álvaro Obregón,692
Private room,Coyoacán,641
Private room,Cuajimalpa de Morelos,905
Private room,Iztacalco,474
Shared room,Coyoacán,607
Shared room,Cuajimalpa de Morelos,663
Shared room,Iztacalco,394
Shared room,Iztapalapa,588
Shared room,La Magdalena Contreras,365
Shared room,Miguel Hidalgo,600
Entire home/apt,Coyoacán,1271
Entire home/apt,Iztacalco,839
Entire home/apt,Tlalpan,1216
Entire home/apt,Venustiano Carranza,870
Entire home/apt,Xochimilco,1339
Hotel room,Coyoacán,1779
Hotel room,Gustavo A. Madero,664
Hotel room,Tlalpan,592
Private room,Azcapotzalco,573
Private room,Benito Juárez,596
Private room,Gustavo A. Madero,533
Private room,Iztapalapa,2516
Private room,La Magdalena Contreras,560
Private room,Miguel Hidalgo,887
Private room,Milpa Alta,798
Private room,Tlalpan,528
Shared room,Azcapotzalco,539
Shared room,Benito Juárez,1699
Shared room,Cuauhtémoc,560
Shared room,Gustavo A. Madero,530
Shared room,Milpa Alta,462
Shared room,Tláhuac,1119
