Tipo AirBnB,Mes,Noches minimas
Entire home/apt,1,4
Shared room,2,4
Entire home/apt,3,4
Private room,5,3
Private room,7,3
Entire home/apt,8,3
Hotel room,9,1
Shared room,9,3
Entire home/apt,10,4
Shared room,11,4
Hotel room,1,2
Hotel room,2,2
Hotel room,3,2
Hotel room,4,2
Hotel room,5,2
Private room,9,3
Private room,10,3
Private room,11,3
Entire home/apt,12,4
Private room,12,3
Shared room,12,4
Private room,1,3
Private room,2,3
Private room,3,3
Entire home/apt,4,4
Private room,4,3
Shared room,4,3
Entire home/apt,5,4
Shared room,5,3
Entire home/apt,6,4
Shared room,6,3
Entire home/apt,7,3
Shared room,7,3
Hotel room,10,2
Hotel room,11,2
Hotel room,12,2
Shared room,1,4
Entire home/apt,2,4
Shared room,3,4
Hotel room,6,2
Private room,6,3
Private room,8,3
Shared room,8,3
Entire home/apt,9,4
Shared room,10,4
Entire home/apt,11,4
