Tipo AirBnB,Alcaldía,Precio Promedio 2021
Entire home/apt,Álvaro Obregón,1550
Entire home/apt,Azcapotzalco,965
Entire home/apt,Benito Juárez,1099
Entire home/apt,Coyoacán,1263
Entire home/apt,Cuajimalpa de Morelos,1597
Entire home/apt,Cuauhtémoc,1442
Entire home/apt,Gustavo A. Madero,974
Entire home/apt,Iztacalco,822
Entire home/apt,Iztapalapa,672
Entire home/apt,La Magdalena Contreras,853
Entire home/apt,Miguel Hidalgo,2027
Entire home/apt,Milpa Alta,1273
Entire home/apt,Tláhuac,850
Entire home/apt,Tlalpan,1157
Entire home/apt,Venustiano Carranza,822
Entire home/apt,Xochimilco,2133
Hotel room,Álvaro Obregón,1004
Hotel room,Benito Juárez,1151
Hotel room,Coyoacán,1859
Hotel room,Cuajimalpa de Morelos,1738
Hotel room,Cuauhtémoc,1787
Hotel room,Gustavo A. Madero,753
Hotel room,Iztacalco,622
Hotel room,Iztapalapa,0
Hotel room,Miguel Hidalgo,1823
Hotel room,Tlalpan,500
Private room,Álvaro Obregón,692
Private room,Azcapotzalco,562
Private room,Benito Juárez,641
Private room,Coyoacán,587
Private room,Cuajimalpa de Morelos,786
Private room,Cuauhtémoc,842
Private room,Gustavo A. Madero,678
Private room,Iztacalco,495
Private room,Iztapalapa,2580
Private room,La Magdalena Contreras,644
Private room,Miguel Hidalgo,1003
Private room,Milpa Alta,1713
Private room,Tláhuac,358
Private room,Tlalpan,546
Private room,Venustiano Carranza,443
Private room,Xochimilco,780
Shared room,Álvaro Obregón,2647
Shared room,Azcapotzalco,567
Shared room,Benito Juárez,1909
Shared room,Coyoacán,1184
Shared room,Cuajimalpa de Morelos,802
Shared room,Cuauhtémoc,437
Shared room,Gustavo A. Madero,738
Shared room,Iztacalco,372
Shared room,Iztapalapa,596
Shared room,La Magdalena Contreras,364
Shared room,Miguel Hidalgo,517
Shared room,Milpa Alta,542
Shared room,Tláhuac,1170
Shared room,Tlalpan,389
Shared room,Venustiano Carranza,1063
Shared room,Xochimilco,261
